"trip_id"	"household_id"	"person_n"	"trip_n"	"travel_mode"	"purpose"	"fueltype"	"faretype"	"bus_scale"	"survey_year"	"travel_year"	"travel_month"	"travel_date"	"day_of_week"	"start_time"	"age"	"female"	"driving_license"	"car_ownership"	"distance"	"dur_walking"	"dur_cycling"	"dur_pt_access"	"dur_pt_rail"	"dur_pt_bus"	"dur_pt_int"	"pt_interchanges"	"dur_driving"	"cost_transit"	"cost_driving_fuel"	"cost_driving_ccharge"	"driving_traffic_percent"	"W"
"1"	20598	4373	0	4	4	3	1	1	1	1	2012	12	2	7	15.5	30	1	1	2	2986	0.811666667	0.268055556	0.191388889	0.45	0	0.1	1	0.210277778	2.29	0.73	0	0.198151	1.06560342319147
"2"	51718	11071	0	5	4	3	1	5	0	2	2014	1	29	3	17.5	66	1	1	2	4475	1.116111111	0.361388889	0.272777778	0.15	0	0	0	0.293055556	0	0.8	0	0.575355	0.836779970608957
"3"	77612	16804	0	0	3	1	6	1	1	3	2015	1	21	3	13.25	28	0	0	0	13354	3.152222222	0.883055556	0.251944444	0.6	0	0.083333333	1	0.636666667	2.8	2.05	0	0.675393	1.21475236566241
"4"	44802	9573	2	0	3	3	2	3	0	2	2013	10	26	6	12	12	1	0	2	4003	0.911388889	0.288055556	0.100277778	0	0.3675	0	0	0.190555556	0	0.72	0	0.125364	1.06560342319147
"5"	79709	17282	0	4	3	3	6	5	0	3	2015	2	21	6	16.75	71	1	0	0	6527	1.516944444	0.538055556	0.100277778	0.216666667	0.053333333	0.15	2	0.506944444	0	1.12	10.5	0.616438	0.836779970608957
"6"	41470	8871	0	1	2	1	6	1	1	2	2013	9	18	3	18	53	0	1	0	3635	0.942222222	0.366111111	0.176111111	0	0.310555556	0	0	0.345277778	1.5	0.76	10.5	0.551891	0.848964507070372
"7"	75633	16349	1	0	3	1	1	4	1	3	2014	12	17	3	8.083333333	41	0	1	1	6571	1.505	0.5075	0.334444444	0.35	0	0.1	1	0.546944444	1.95	1.32	0	0.642458	0.848964507070372
"8"	34736	7440	0	1	4	5	5	1	1	2	2013	6	30	7	12	45	1	1	2	1684	0.461944444	0.155	0.131111111	0	0.233333333	0	0	0.133888889	1.5	0.44	0	0.0518672	0.836779970608957
"9"	39370	8421	0	2	3	3	6	5	0	2	2013	8	22	4	11.83333333	77	0	1	0	3293	0.783888889	0.26	0.0725	0	0.194722222	0	0	0.187777778	0	0.5	0	0.0887574	0.848964507070372
"10"	30943	6680	1	0	1	3	1	5	0	2	2013	5	19	7	11.58333333	60	1	1	2	3592	0.834444444	0.305833333	0.176111111	0	0.235	0	0	0.245	0	0.68	0	0.512472	0.836779970608957
"11"	72239	15654	0	0	4	2	1	5	0	3	2014	11	10	1	14.83333333	73	1	1	2	1853	0.644166667	0.218888889	0.219444444	0	0.060277778	0.106388889	1	0.129444444	0	0.41	0	0.0815451	0.836779970608957
"12"	13279	2823	5	0	4	2	1	3	0	1	2012	9	7	5	7.75	12	1	0	1	3395	0.847777778	0.317777778	0.204166667	0	0.381111111	0.1	1	0.275277778	0	0.75	0	0.35116	1.06560342319147
"13"	38439	8213	0	3	4	5	5	1	1	2	2013	8	10	6	2	46	1	1	2	7575	1.805555556	0.695	0.149166667	0	0.561666667	0.178333333	1	0.294444444	3	1.42	0	0.588679	0.836779970608957
"14"	69010	14917	1	1	3	3	6	1	1	3	2014	10	1	3	14	24	0	0	0	4534	1.220833333	0.213333333	0.067222222	0	0.233333333	0	0	0.166388889	1.5	0.56	0	0.115192	1.21475236566241
"15"	69516	15032	0	1	1	5	6	5	0	3	2014	10	8	3	7.166666667	64	1	0	0	1670	0.483611111	0.195555556	0.039722222	0	0.092222222	0	0	0.101111111	0	0.32	0	0.25	0.836779970608957
"16"	59966	12864	0	8	4	3	2	1	1	3	2014	6	8	7	23.66666667	42	0	1	1	1273	0.408333333	0.170833333	0.095	0	0.158611111	0.155555556	1	0.122222222	3	0.35	0	0.109091	0.848964507070372
"17"	28625	6198	4	0	3	2	2	3	0	2	2013	4	17	3	8.416666667	11	1	0	2	1697	0.407222222	0.157222222	0.172777778	0	0.085833333	0	0	0.134722222	0	0.31	0	0.22268	1.06560342319147
